CustomerKey|SalesTerritoryKey|First Name|Middle Name|Last Name|Birth Date|Marital Status|Gender|Email Address|Yearly Income|Total Children|Children at Home|Education|Occupation|Home Owner|Cars Owned|Street Address|City|State/Province|Postal Code|CountryRegionCode|Initial Purchase Date|Commute Distance
11018|9|Clarence|D|Rai|1955-10-06|S|M|clarence32@adventure-works.com|30000.00|2|0|Partial College|Clerical|1|2|244 Rivewview|Bendigo|VIC|3550|AU|2011-01-17|5-10 Miles
11019|6|Luke|L|Lal|1983-09-04|S|M|luke18@adventure-works.com|40000.00|0|0|High School|Skilled Manual|0|2|7832 Landing Dr|Langley|BC|V3A 4R2|CA|2013-02-12|5-10 Miles
11020|6|Jordan|C|King|1984-03-19|S|M|jordan73@adventure-works.com|40000.00|0|0|High School|Skilled Manual|0|2|7156 Rose Dr.|Metchosin|BC|V9|CA|2012-12-29|1-2 Miles
11021|1|Destiny|NULL|Wilson|1984-03-02|S|F|destiny7@adventure-works.com|40000.00|0|0|Partial College|Skilled Manual|0|1|8148 W. Lake Dr.|Beaverton|OR|97005|US|2013-01-23|1-2 Miles
11022|1|Ethan|G|Zhang|1984-04-10|M|M|ethan20@adventure-works.com|40000.00|0|0|Partial College|Skilled Manual|1|1|1769 Nicholas Drive|Bellingham|WA|98225|US|2013-01-20|5-10 Miles
11023|4|Seth|M|Edwards|1984-04-09|M|M|seth46@adventure-works.com|40000.00|0|0|Partial College|Skilled Manual|1|1|4499 Valley Crest|Bellflower|CA|90706|US|2013-02-17|1-2 Miles
11024|4|Russell|NULL|Xie|1984-03-16|M|M|russell7@adventure-works.com|60000.00|0|0|Partial College|Skilled Manual|1|2|8734 Oxford Place|Concord|CA|94519|US|2013-06-27|5-10 Miles
11025|9|Alejandro|NULL|Beck|1951-06-22|M|M|alejandro45@adventure-works.com|10000.00|2|1|Partial High School|Clerical|1|2|2596 Franklin Canyon Road|Hawthorne|QLD|4171|AU|2011-01-06|1-2 Miles
11026|9|Harold|NULL|Sai|1951-10-01|S|M|harold3@adventure-works.com|30000.00|2|0|Partial College|Clerical|0|2|8211 Leeds Ct.|Goulburn|NSW|2580|AU|2011-01-23|1-2 Miles
11027|9|Jessie|R|Zhao|1952-06-05|M|M|jessie16@adventure-works.com|30000.00|2|0|Partial College|Clerical|1|2|213 Valencia Place|Warrnambool|VIC|3280|AU|2011-01-16|5-10 Miles
11028|9|Jill|NULL|Jimenez|1951-10-09|M|F|jill13@adventure-works.com|30000.00|2|0|Partial College|Clerical|1|2|9111 Rose Ann Ave|St. Leonards|NSW|2065|AU|2011-01-26|1-2 Miles
11029|9|Jimmy|L|Moreno|1952-06-19|M|M|jimmy9@adventure-works.com|30000.00|2|0|Partial College|Clerical|1|2|6385 Mark Twain|Bendigo|VIC|3550|AU|2011-01-19|1-2 Miles
11030|9|Bethany|G|Yuan|1958-02-18|M|F|bethany10@adventure-works.com|10000.00|2|1|Partial High School|Clerical|1|2|636 Vine Hill Way|Cloverdale|SA|6105|AU|2011-02-05|1-2 Miles
11031|9|Theresa|G|Ramos|1953-02-18|M|F|theresa13@adventure-works.com|20000.00|4|0|High School|Skilled Manual|1|2|6465 Detroit Ave.|Matraville|NSW|2036|AU|2011-02-01|1-2 Miles
11032|9|Denise|NULL|Stone|1952-12-08|M|F|denise10@adventure-works.com|20000.00|4|0|High School|Skilled Manual|1|2|626 Bentley Street|Melbourne|VIC|3000|AU|2011-02-18|1-2 Miles
11033|9|Jaime|NULL|Nath|1958-09-19|M|M|jaime41@adventure-works.com|20000.00|4|0|High School|Skilled Manual|1|2|5927 Rainbow Dr|Milsons Point|NSW|2061|AU|2011-02-15|5-10 Miles
11034|9|Ebony|NULL|Gonzalez|1952-12-16|M|F|ebony19@adventure-works.com|20000.00|4|0|High School|Skilled Manual|1|2|5167 Condor Place|North Sydney|NSW|2055|AU|2011-02-01|5-10 Miles
11035|9|Wendy|NULL|Dominguez|1953-08-23|M|F|wendy12@adventure-works.com|10000.00|2|1|Partial High School|Clerical|1|2|1873 Mt. Whitney Dr|Cranbourne|VIC|3977|AU|2011-02-06|1-2 Miles
11036|4|Jennifer|C|Russell|1984-06-16|M|F|jennifer93@adventure-works.com|60000.00|0|0|Partial College|Skilled Manual|1|2|3981 Augustine Drive|National City|CA|91950|US|2013-01-22|1-2 Miles
11037|6|Chloe|M|Garcia|1983-05-27|S|F|chloe27@adventure-works.com|40000.00|0|0|Partial High School|Clerical|0|2|8915 Woodside Way|Cliffside|BC|V8Y 1L1|CA|2013-01-20|5-10 Miles
11038|9|Diana|F|Hernandez|1953-09-20|M|F|diana2@adventure-works.com|10000.00|2|1|Partial High School|Clerical|1|2|8357 Sandy Cove Lane|Lavender Bay|NSW|2060|AU|2011-02-07|5-10 Miles
11039|9|Marc|J|Martin|1954-06-16|M|M|marc3@adventure-works.com|30000.00|3|0|Partial College|Clerical|1|2|9353 Creekside Dr.|Wollongong|NSW|2500|AU|2011-02-07|5-10 Miles
11040|1|Jesse|NULL|Murphy|1983-01-29|M|M|jesse15@adventure-works.com|30000.00|0|0|Partial College|Skilled Manual|1|2|3350 Kingswood Circle|Tacoma|WA|98403|US|2013-04-03|1-2 Miles
11041|4|Amanda|M|Carter|1983-04-15|M|F|amanda53@adventure-works.com|60000.00|0|0|Partial College|Skilled Manual|1|2|5826 Escobar|Glendale|CA|91203|US|2013-01-14|1-2 Miles
11042|4|Megan|J|Sanchez|1982-12-11|M|F|megan28@adventure-works.com|70000.00|0|0|Partial College|Skilled Manual|1|2|1397 Paraiso Ct.|Los Angeles|CA|90012|US|2013-01-21|0-1 Miles
11043|4|Nathan|M|Simmons|1981-08-23|M|M|nathan11@adventure-works.com|60000.00|0|0|Partial College|Skilled Manual|1|2|1170 Shaw Rd|Glendale|CA|91203|US|2013-05-08|5-10 Miles
11044|9|Adam|L|Flores|1954-11-21|M|M|adam10@adventure-works.com|20000.00|2|1|Partial High School|Clerical|1|2|6935 Candle Dr|Hervey Bay|QLD|4655|AU|2011-02-28|1-2 Miles
11045|9|Leonard|G|Nara|1955-11-16|S|M|leonard18@adventure-works.com|30000.00|3|0|High School|Skilled Manual|0|2|7466 La Vista Ave.|Matraville|NSW|2036|AU|2013-04-10|1-2 Miles
11046|9|Christine|NULL|Yuan|1955-09-19|M|F|christine4@adventure-works.com|30000.00|3|0|High School|Skilled Manual|1|2|2356 Orange St|Lavender Bay|NSW|2060|AU|2011-02-06|5-10 Miles
11047|9|Jaclyn|D|Lu|1955-08-27|M|F|jaclyn12@adventure-works.com|30000.00|3|0|High School|Skilled Manual|0|2|2812 Mazatlan|Geelong|VIC|3220|AU|2011-02-03|1-2 Miles
11048|9|Jeremy|NULL|Powell|1956-05-21|M|M|jeremy26@adventure-works.com|30000.00|3|0|High School|Skilled Manual|1|2|1803 Potomac Dr.|Sunbury|VIC|3429|AU|2011-02-10|5-10 Miles
11049|4|Carol|C|Rai|1986-01-15|S|F|carol8@adventure-works.com|40000.00|0|0|Partial High School|Clerical|1|2|6064 Madrid|Chula Vista|CA|91910|US|2013-03-09|5-10 Miles
11050|9|Alan|NULL|Zheng|1957-03-06|M|M|alan23@adventure-works.com|30000.00|3|0|High School|Skilled Manual|1|2|2741 Gainborough Dr.|Hobart|TAS|7001|AU|2011-02-20|5-10 Miles
11051|9|Daniel|NULL|Johnson|1957-01-31|S|M|daniel18@adventure-works.com|30000.00|3|0|High School|Skilled Manual|0|2|8085 Sunnyvale Avenue|Caloundra|QLD|4551|AU|2013-12-29|1-2 Miles
11052|9|Heidi|NULL|Lopez|1957-02-03|S|F|heidi19@adventure-works.com|40000.00|2|0|Partial College|Clerical|0|2|2514 Via Cordona|Matraville|NSW|2036|AU|2011-02-17|5-10 Miles
11053|4|Ana|E|Price|1986-02-17|M|F|ana0@adventure-works.com|60000.00|0|0|Partial College|Skilled Manual|0|2|1660 Stonyhill Circle|San Diego|CA|92102|US|2013-01-17|1-2 Miles
11054|9|Deanna|NULL|Munoz|1957-09-07|M|F|deanna33@adventure-works.com|40000.00|2|0|Partial College|Skilled Manual|1|2|5825 B Way|Geelong|VIC|3220|AU|2011-02-03|5-10 Miles
11055|9|Gilbert|NULL|Raje|1957-09-02|M|M|gilbert35@adventure-works.com|40000.00|2|0|Partial College|Skilled Manual|1|2|8811 The Trees Dr.|East Brisbane|QLD|4169|AU|2011-01-31|5-10 Miles
11056|9|Michele|L|Nath|1958-10-01|M|F|michele19@adventure-works.com|40000.00|3|0|Partial College|Skilled Manual|1|2|5464 Janin Pl.|Newcastle|NSW|2300|AU|2011-02-26|5-10 Miles
11057|9|Carl|J|Andersen|1970-04-07|M|M|carl12@adventure-works.com|70000.00|2|0|Graduate Degree|Management|1|2|6930 Lake Nadine Place|Lane Cove|NSW|1597|AU|2011-02-22|1-2 Miles
11058|9|Marc|NULL|Diaz|1965-04-23|M|M|marc6@adventure-works.com|80000.00|2|0|Partial College|Skilled Manual|1|2|6645 Sinaloa|Findon|SA|5023|AU|2011-03-09|1-2 Miles
11059|9|Ashlee|J|Andersen|1959-09-29|S|F|ashlee19@adventure-works.com|80000.00|2|0|Partial College|Skilled Manual|1|2|8255 Highland Road|Townsville|QLD|4810|AU|2013-02-18|5-10 Miles
11060|9|Jon|L|Zhou|1959-09-14|M|M|jon28@adventure-works.com|80000.00|2|0|Partial College|Skilled Manual|1|2|6574 Hemlock Ave.|Warrnambool|VIC|3280|AU|2011-03-19|5-10 Miles
11061|9|Todd|M|Gao|1976-02-20|M|M|todd14@adventure-works.com|80000.00|2|0|Partial College|Skilled Manual|1|2|8808 Geneva Ave|Gold Coast|QLD|4217|AU|2011-03-13|5-10 Miles
11062|1|Noah|D|Powell|1981-03-01|M|M|noah5@adventure-works.com|40000.00|0|0|High School|Skilled Manual|1|2|9794 Marion Ct|Portland|OR|97205|US|2013-01-07|5-10 Miles
11063|1|Angela|NULL|Murphy|1980-10-04|S|F|angela41@adventure-works.com|40000.00|0|0|High School|Skilled Manual|1|2|4927 Virgil Street # 21|Redmond|WA|98052|US|2013-01-12|5-10 Miles
11064|4|Chase|NULL|Reed|1981-06-05|M|M|chase21@adventure-works.com|40000.00|0|0|High School|Skilled Manual|1|2|2721 Alexander Pl.|Downey|CA|90241|US|2013-01-25|5-10 Miles
11065|4|Jessica|NULL|Henderson|1979-04-08|M|F|jessica29@adventure-works.com|60000.00|0|0|Partial College|Skilled Manual|0|2|9343 Ironwood Way|La Jolla|CA|92806|US|2013-02-10|1-2 Miles
11066|1|Grace|T|Butler|1979-05-27|M|F|grace62@adventure-works.com|70000.00|0|0|Partial College|Professional|1|2|4739 Garden Ave.|Lebanon|OR|97355|US|2013-05-31|5-10 Miles
11067|1|Caleb|F|Carter|1982-03-25|S|M|caleb40@adventure-works.com|60000.00|0|0|Partial College|Professional|1|2|9563 Pennsylvania Blvd.|Port Orchard|WA|98366|US|2013-08-18|5-10 Miles
11068|9|Tiffany|NULL|Liang|1966-09-19|S|F|tiffany17@adventure-works.com|80000.00|2|0|High School|Skilled Manual|1|2|3608 Sinclair Avenue # 701|Warrnambool|VIC|3280|AU|2013-04-30|5-10 Miles
11069|9|Carolyn|NULL|Navarro|1966-09-17|S|F|carolyn30@adventure-works.com|80000.00|2|0|High School|Skilled Manual|0|2|4606 Springwood Court|Gold Coast|QLD|4217|AU|2011-04-17|1-2 Miles
11070|9|Willie|T|Raji|1960-10-02|M|M|willie40@adventure-works.com|80000.00|2|0|High School|Skilled Manual|1|2|6260 Vernal Drive|Sunbury|VIC|3429|AU|2011-04-28|5-10 Miles
11071|9|Linda|NULL|Serrano|1960-12-23|S|F|linda31@adventure-works.com|80000.00|2|0|High School|Skilled Manual|1|2|9808 Shaw Rd.|Hawthorne|QLD|4171|AU|2013-03-01|5-10 Miles
11072|9|Casey|NULL|Luo|1960-08-05|S|F|casey6@adventure-works.com|80000.00|2|0|High School|Skilled Manual|0|2|9513 Roslyn Drive|St. Leonards|NSW|2065|AU|2011-03-31|1-2 Miles
11073|9|Amy|NULL|Ye|1962-02-11|S|F|amy16@adventure-works.com|70000.00|2|0|High School|Skilled Manual|1|2|2262 Kirkwood Ct.|Springwood|NSW|2777|AU|2013-03-23|5-10 Miles
11074|9|Levi|A|Arun|1962-02-25|S|M|levi6@adventure-works.com|70000.00|2|0|High School|Skilled Manual|1|2|4661 Bluetail|Cloverdale|SA|6105|AU|2013-03-23|5-10 Miles
11075|9|Felicia|L|Jimenez|1963-05-16|S|F|felicia4@adventure-works.com|80000.00|2|0|High School|Professional|1|2|786 Eastgate Ave|Bendigo|VIC|3550|AU|2011-04-28|5-10 Miles
11076|9|Blake|NULL|Anderson|1963-01-10|S|M|blake9@adventure-works.com|80000.00|2|0|High School|Professional|1|2|5436 Clear # 101|Wollongong|NSW|2500|AU|2011-04-21|5-10 Miles
11077|9|Leah|NULL|Ye|1963-03-19|S|F|leah7@adventure-works.com|80000.00|2|0|High School|Professional|0|2|1291 Arguello Blvd.|Melton|VIC|3337|AU|2011-04-15|1-2 Miles
11078|6|Gina|E|Martin|1985-01-06|S|F|gina1@adventure-works.com|40000.00|0|0|High School|Professional|0|2|1349 Sol St.|Cliffside|BC|V8Y 1L1|CA|2013-02-15|1-2 Miles
11079|9|Donald|NULL|Gonzalez|1970-03-07|S|M|donald20@adventure-works.com|160000.00|0|0|Graduate Degree|Management|1|2|4236 Malibu Place|Geelong|VIC|3220|AU|2013-03-15|0-1 Miles
11080|9|Damien|NULL|Chander|1965-01-13|M|M|damien32@adventure-works.com|170000.00|0|0|Graduate Degree|Management|1|2|9941 Stonehedge Dr.|Perth|SA|6006|AU|2011-04-10|0-1 Miles
11081|4|Savannah|C|Baker|1972-01-21|M|F|savannah39@adventure-works.com|120000.00|2|2|Bachelors|Management|1|3|1210 Trafalgar Circle|Concord|CA|94519|US|2013-02-12|2-5 Miles
11082|4|Angela|L|Butler|1972-02-01|S|F|angela17@adventure-works.com|130000.00|0|1|Graduate Degree|Management|0|3|6040 Listing Ct|Fremont|CA|94536|US|2013-01-22|1-2 Miles
11083|4|Alyssa|F|Cox|1977-03-11|M|F|alyssa37@adventure-works.com|130000.00|0|1|Graduate Degree|Management|1|3|867 La Orinda Place|Lincoln Acres|CA|91950|US|2013-01-06|1-2 Miles
11084|1|Lucas|NULL|Phillips|1963-03-12|S|M|lucas7@adventure-works.com|80000.00|2|0|Partial High School|Skilled Manual|0|2|8668 St. Celestine Court|Lebanon|OR|97355|US|2013-01-04|1-2 Miles
11085|4|Emily|NULL|Johnson|1963-01-16|S|F|emily1@adventure-works.com|60000.00|2|0|High School|Professional|0|2|7926 Stephanie Way|Newport Beach|CA|92625|US|2013-12-06|5-10 Miles
11086|4|Ryan|NULL|Brown|1963-06-22|M|M|ryan43@adventure-works.com|70000.00|2|1|Partial College|Professional|1|0|2939 Wesley Ct.|Santa Monica|CA|90401|US|2013-07-02|0-1 Miles
11087|4|Tamara|L|Liang|1963-04-02|M|F|tamara6@adventure-works.com|70000.00|3|2|Partial College|Professional|0|0|3791 Rossmor Parkway|Chula Vista|CA|91910|US|2013-02-25|0-1 Miles
11088|4|Hunter|NULL|Davis|1963-05-25|M|M|hunter64@adventure-works.com|80000.00|2|1|Bachelors|Management|1|0|4308 Sand Pointe Lane|San Diego|CA|92102|US|2013-01-13|2-5 Miles
11089|4|Abigail|M|Price|1962-08-05|S|F|abigail25@adventure-works.com|80000.00|2|1|Bachelors|Management|1|1|2685 Blackburn Ct|Long Beach|CA|90802|US|2012-12-29|2-5 Miles
11090|4|Trevor|NULL|Bryant|1968-12-13|S|M|trevor18@adventure-works.com|90000.00|2|0|Partial College|Professional|1|1|5781 Sharon Dr.|Los Angeles|CA|90012|US|2011-08-07|2-5 Miles
11091|6|Dalton|NULL|Perez|1962-10-02|M|M|dalton37@adventure-works.com|90000.00|2|0|Partial College|Professional|1|1|6083 San Jose|Haney|BC|V2W 1W2|CA|2013-01-29|5-10 Miles
11092|9|Cheryl|A|Diaz|1972-11-02|M|F|cheryl4@adventure-works.com|90000.00|2|2|Bachelors|Professional|1|0|7297 Kaywood Drive|East Brisbane|QLD|4169|AU|2011-04-08|1-2 Miles
11093|9|Aimee|A|He|1978-09-06|M|F|aimee13@adventure-works.com|100000.00|0|0|Graduate Degree|Management|1|0|1833 Olympic Drive|Wollongong|NSW|2500|AU|2011-04-07|0-1 Miles
11094|9|Cedric|W|Ma|1967-09-29|S|M|cedric15@adventure-works.com|70000.00|1|0|Partial College|Skilled Manual|0|1|3407 Oak Brook Place|Cranbourne|VIC|3977|AU|2013-04-07|0-1 Miles
11095|9|Chad|NULL|Kumar|1968-02-29|S|M|chad9@adventure-works.com|70000.00|1|0|Partial College|Skilled Manual|1|1|1681 Lighthouse Way|Port Macquarie|NSW|2444|AU|2011-04-01|5-10 Miles
11096|9|Andrés|NULL|Anand|1968-02-07|M|M|andrés18@adventure-works.com|60000.00|1|0|Bachelors|Professional|1|1|5423 Los Gatos Ct.|North Sydney|NSW|2055|AU|2011-04-11|5-10 Miles
11097|9|Edwin|R|Nara|1972-10-23|M|M|edwin39@adventure-works.com|60000.00|1|0|Partial College|Skilled Manual|1|1|719 William Way|Warrnambool|VIC|3280|AU|2011-04-04|5-10 Miles
11098|9|Mallory|S|Rubio|1966-10-29|S|F|mallory7@adventure-works.com|60000.00|1|0|Partial College|Skilled Manual|0|1|6452 Harris Circle|Rhodes|NSW|2138|AU|2013-02-11|0-1 Miles
11099|9|Adam|NULL|Ross|1966-09-05|M|M|adam2@adventure-works.com|60000.00|1|0|Bachelors|Professional|1|1|4378 Westminster Place|Port Macquarie|NSW|2444|AU|2011-04-07|0-1 Miles
11100|9|Latasha|L|Navarro|1966-03-15|S|F|latasha10@adventure-works.com|60000.00|1|0|Partial College|Skilled Manual|1|1|6954 Ranch Road|Cloverdale|SA|6105|AU|2011-04-16|5-10 Miles
11101|9|Abby|L|Sai|1970-11-05|S|F|abby4@adventure-works.com|70000.00|0|0|Bachelors|Professional|0|1|7074 N. Spoonwood Court|Cranbourne|VIC|3977|AU|2011-04-29|0-1 Miles
11102|9|Julia|L|Nelson|1970-10-19|S|F|julia7@adventure-works.com|80000.00|5|5|Bachelors|Professional|1|4|2196 Coat Ct.|Sydney|NSW|1002|AU|2013-07-16|1-2 Miles
11103|9|Cassie|NULL|Chande|1981-04-12|S|F|cassie13@adventure-works.com|70000.00|0|0|Bachelors|Professional|1|1|9448 San Marino Ct.|Darlinghurst|NSW|2010|AU|2011-04-15|5-10 Miles
11104|9|Edgar|A|Sara|1975-03-08|M|M|edgar11@adventure-works.com|70000.00|0|0|Bachelors|Professional|0|1|6127 Lilly Lane|Gold Coast|QLD|4217|AU|2011-05-04|0-1 Miles
11105|9|Candace|NULL|Fernandez|1970-06-27|S|F|candace15@adventure-works.com|70000.00|0|0|Bachelors|Professional|0|1|5029 Blue Ridge|Matraville|NSW|2036|AU|2011-05-14|5-10 Miles
11106|9|Jessie|NULL|Liu|1970-03-11|S|M|jessie9@adventure-works.com|70000.00|0|0|Bachelors|Professional|0|1|3063 Blue Jay Drive|Warrnambool|VIC|3280|AU|2011-05-18|5-10 Miles
11107|9|Bianca|NULL|Lin|1976-03-04|M|F|bianca7@adventure-works.com|90000.00|1|0|Bachelors|Professional|1|1|7530 Eola|St. Leonards|NSW|2065|AU|2011-05-01|5-10 Miles
11108|9|Kari|C|Alvarez|1969-01-10|S|F|kari25@adventure-works.com|70000.00|0|0|Bachelors|Professional|0|2|9178 Thornhill Place|Port Macquarie|NSW|2444|AU|2011-05-03|0-1 Miles
11109|9|Ruben|D|Kapoor|1980-04-30|S|M|ruben1@adventure-works.com|70000.00|0|0|Bachelors|Professional|0|2|1984 Glendale Circle|South Melbourne|VIC|3205|AU|2011-05-10|0-1 Miles
11110|9|Curtis|NULL|Yang|1967-12-04|M|M|curtis5@adventure-works.com|60000.00|1|0|Partial College|Skilled Manual|1|1|4052 Mt. Wilson Way|Darlinghurst|NSW|2010|AU|2011-05-01|5-10 Miles
11111|9|Meredith|T|Gutierrez|1967-08-23|M|F|meredith34@adventure-works.com|60000.00|1|0|Partial College|Skilled Manual|1|1|7610 Northridge Ct.|Geelong|VIC|3220|AU|2011-05-20|0-1 Miles
11112|9|Crystal|C|Wang|1968-03-08|M|F|crystal3@adventure-works.com|60000.00|1|0|Partial College|Skilled Manual|1|1|2773 Kirkwood Dr|Hervey Bay|QLD|4655|AU|2011-05-25|0-1 Miles
11113|9|Micheal|A|Blanco|1973-02-17|M|M|micheal11@adventure-works.com|70000.00|5|4|Bachelors|Professional|1|2|596 Marfargoa Drive|Perth|SA|6006|AU|2013-02-01|5-10 Miles
11114|9|Leslie|C|Moreno|1967-11-25|S|F|leslie7@adventure-works.com|70000.00|5|4|Partial College|Skilled Manual|1|2|7941 Cristobal|Rhodes|NSW|2138|AU|2013-03-18|5-10 Miles
11115|9|Alvin|D|Cai|1967-08-12|M|M|alvin20@adventure-works.com|70000.00|5|4|Partial College|Skilled Manual|1|2|7759 Azalea Avenue|St. Leonards|NSW|2065|AU|2013-02-10|0-1 Miles
11116|9|Clinton|E|Carlson|1979-04-02|M|M|clinton14@adventure-works.com|70000.00|5|4|Partial College|Skilled Manual|1|2|7943 Cunha Ct.|Sydney|NSW|1002|AU|2013-03-15|5-10 Miles
11117|9|April|NULL|Deng|1966-08-21|M|F|april1@adventure-works.com|70000.00|5|4|Partial College|Skilled Manual|1|3|485 Ash Lane|Matraville|NSW|2036|AU|2011-05-06|10+ Miles
11118|9|Alvin|M|Zeng|1962-12-31|S|M|alvin21@adventure-works.com|80000.00|1|0|Partial College|Skilled Manual|0|1|3853 Wildcat Circle Unit 13c12|Lavender Bay|NSW|2060|AU|2013-07-10|0-1 Miles
11119|9|Evan|V|James|1940-10-07|S|M|evan8@adventure-works.com|30000.00|2|0|Partial College|Clerical|0|2|4157 Sierra Ridge|Port Macquarie|NSW|2444|AU|2013-02-03|0-1 Miles
11120|9|Beth|H|Jiménez|1942-02-06|S|F|beth8@adventure-works.com|40000.00|2|0|Bachelors|Management|1|1|7401 Las Palmas|Sydney|NSW|1002|AU|2011-05-14|5-10 Miles
11121|9|Orlando|NULL|Suarez|1966-05-18|M|M|orlando19@adventure-works.com|70000.00|5|4|Partial College|Skilled Manual|1|3|7743 Hames Dr|Newcastle|NSW|2300|AU|2013-06-24|10+ Miles
11122|9|Byron|NULL|Vazquez|1965-09-30|M|M|byron9@adventure-works.com|70000.00|5|4|Partial College|Skilled Manual|1|3|3187 Hackamore Lane|North Sydney|NSW|2055|AU|2013-02-21|5-10 Miles
11123|9|Philip|A|Alvarez|1965-12-18|M|M|philip4@adventure-works.com|70000.00|5|4|Partial College|Skilled Manual|1|3|2775 Mt. Olivet Pl.|Sunbury|VIC|3429|AU|2013-04-17|10+ Miles
11124|9|Ross|F|Jordan|1968-07-23|S|M|ross1@adventure-works.com|80000.00|1|0|Partial College|Skilled Manual|1|1|6973 Dublin Court|Warrnambool|VIC|3280|AU|2011-05-05|5-10 Miles
11125|9|Dana|J|Navarro|1961-10-06|S|F|dana2@adventure-works.com|70000.00|1|0|Partial College|Skilled Manual|1|1|8481 Zartop Street|Seaford|VIC|3198|AU|2013-01-31|5-10 Miles
11126|9|Shaun|NULL|Carson|1954-10-05|M|M|shaun16@adventure-works.com|10000.00|2|1|High School|Skilled Manual|0|2|57 Wolf Way|North Ryde|NSW|2113|AU|2011-05-28|0-1 Miles
11127|4|Jan|NULL|Edwards|1981-04-19|M|F|jan11@adventure-works.com|40000.00|0|0|High School|Skilled Manual|1|1|9409 The Alameda|San Gabriel|CA|91776|US|2013-04-10|5-10 Miles
